seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,STDA,ATA,FDA,SFDA,VACE_IDs,VACE_GT_IDs,num_non_empty_timesteps,Dets,GT_Dets,IDs,GT_IDs
MOT17-02,0.6674075290668122,0.8350420371308573,0.5573133426684228,0.6674075290668122,0.6659540250979535,0.6648265228184067,0.6629813718335315,0.6616975801699442,0.6587070317357834,0.6562479138440509,0.6518114510140237,0.6470161477682712,0.6392811450916909,0.6263270267961992,0.6066679931832153,0.5878713812249429,0.560360193572633,0.5236851613015667,0.4729554785501238,0.40520940940227324,0.29135610712764504,0.11481743341101946,0.5665884685794783,0.8303500397772474,0.8267169511710997,0.8238208481965914,0.8191342162482704,0.8160828811050814,0.810901219992129,0.8052177324440957,0.7965836993655442,0.7869902912621359,0.7730469126288412,0.7532863402552867,0.721473999251777,0.6889337493118003,0.6454496692293938,0.5834480385409497,0.4975185094784802,0.3838057288925645,0.23232458489555435,0.06794313896141572,0.6664751868951715,0.5364398007068937,0.5364529696843955,0.5365175042733791,0.5365961898300806,0.536518652382296,0.5350774458846885,0.5348383512586996,0.5333503158693735,0.5319378143808045,0.52866181313625,0.5207655091189126,0.5101307245093257,0.5016342445243053,0.48648804315857724,0.47004382575912934,0.4496051512235286,0.4278067082060173,0.3653869916467895,0.19403052635793608,0.488014872732178,0.8423282558256835,0.840310703117119,0.8386966609502673,0.8360738424291334,0.8343589226268536,0.8314334711994351,0.8282053868657319,0.8232623827297488,0.8177141127811964,0.8095430243115102,0.7977403409664078,0.778170079693332,0.7573892867951175,0.7283365277917886,0.6841521234742257,0.6168667406435994,0.5149803288610915,0.3500453949359427,0.11812771108645213,0.7183018577412966,0.9831626044978218,0.9808077240080066,0.9789238196161545,0.9758624749793948,0.973860826563052,0.97044624985282,0.9666784410691157,0.9609089838690686,0.954433062522077,0.9448957965383257,0.9311197456729071,0.9082774049217002,0.8840221358766043,0.8501118568232662,0.7985399740963146,0.7200047097609796,0.601083245025315,0.40857176498292713,0.13787825267867657,0.8383994249133963,0.5938064933772131,0.5939628149267552,0.5940098279768529,0.5942539452747159,0.5944314288174881,0.5935967312194099,0.5934749428929534,0.5924493994977985,0.5913613536731717,0.5887752327954905,0.5830917283846676,0.5747300175819694,0.5674616318719702,0.5557138554344273,0.5401672059413463,0.5233968261792145,0.5082892577006539,0.457519356338813,0.2927322382554326,0.554380225691597,0.7838624828862938,0.7828485589268088,0.7823195644127056,0.7815679120164611,0.7807124660241787,0.7786580988659357,0.7778189755413978,0.7740468186835091,0.7709098871032978,0.7661072716906341,0.757304599347747,0.7458293362469666,0.7358476246282859,0.7196589507651036,0.6981185370362377,0.6667385099726296,0.6214411314343949,0.5315765433897045,0.3147119075856842,0.7142146935030514,0.8350420371308573,0.8368680405227342,0.8382246721562467,0.8402928453358471,0.8415668013127566,0.8435540476557901,0.8455701224800456,0.8483779072885856,0.8512499582174373,0.8550029438026201,0.8598763937669457,0.8670222915694962,0.8736457578545234,0.8814906852461389,0.8915936737861181,0.9041359260236959,0.9194130810577632,0.93893726523983,0.9652743215477035,0.8703757248418492,0.6722041369144607,0.671406860364683,0.6708020865914579,0.6698014916854607,0.6690658598156866,0.6669942265060729,0.6655493998305771,0.662636591105777,0.6595248728752906,0.6541975871587469,0.6445429813504032,0.630054336184935,0.6163865692017235,0.5952537376332382,0.567081547503582,0.5266369377586714,0.4693740931079556,0.35763393826013834,0.15139478841612253,0.5905548443297359,8350.0,8330.0,8314.0,8288.0,8271.0,8242.0,8210.0,8161.0,8106.0,8025.0,7908.0,7714.0,7508.0,7220.0,6782.0,6115.0,5105.0,3470.0,1171.0,7120.526315789473,1563.0,1583.0,1599.0,1625.0,1642.0,1671.0,1703.0,1752.0,1807.0,1888.0,2005.0,2199.0,2405.0,2693.0,3131.0,3798.0,4808.0,6443.0,8742.0,2792.4736842105262,143.0,163.0,179.0,205.0,222.0,251.0,283.0,332.0,387.0,468.0,585.0,779.0,985.0,1273.0,1711.0,2378.0,3388.0,5023.0,7322.0,1372.4736842105262,0.7694946030465046,0.848594127223148,0.7784727125996167,0.8176132351457682,0.9543153184975862,0.6792452830188679,0.22641509433962265,0.09433962264150944,0.645703157585354,0.8806910789959795,0.6466666666666666,0.778276062745219,6877.8554011436145,8105,1808,388,89,36,12,5,143.0,600,0.6263175051613604,0.5814586906082921,0.6786765571647239,5764,4149,2729,28.75114616320662,0.4021139323525401,230.11495840411766,0.7670498613470589,90,53,300,8493,9913,90,53
MOT17-04,0.9719423673944005,0.9217563540662481,0.8958940529319804,0.9719423673944005,0.9718727361432348,0.9715262377019377,0.9707692274764562,0.9697153861614133,0.9692095538308972,0.9689051675028715,0.968416366703017,0.9678555176088276,0.9670543515226456,0.9656521875099912,0.9632831435014566,0.9610372055128846,0.9543230857491896,0.9438897978126515,0.9161719800307535,0.8482562663018285,0.6600496306138774,0.2597948610920948,0.9036697405352857,0.9856156501726122,0.9855340484116221,0.9851261401922919,0.9842293318000739,0.9829263287502565,0.9822754687564108,0.9818688981868898,0.9812999794955916,0.9806501865289222,0.9797574168169153,0.9782172542275723,0.9754671464202478,0.9730469228570262,0.9655018103413205,0.9525541545425154,0.9202702702702703,0.8422176466102341,0.6293123798603851,0.20234925217131622,0.9088536992848669,0.9584587718050035,0.9584007947577664,0.958114085125225,0.9574932005853526,0.9566820041882346,0.9563174375375096,0.9561125984816353,0.9557019045086869,0.9552277823772425,0.9545159880873267,0.9532485173543035,0.9512513240033679,0.9491757166943137,0.9432737901049572,0.9353042513815871,0.9120919409327001,0.8543381823170353,0.6922881685088887,0.3335488968979164,0.8995550187183712,0.98992817633947,0.9898868983736482,0.9896805085445389,0.9892264509204987,0.9885660034673491,0.9882357797407744,0.9880293899116651,0.9877404441509122,0.9874102204243375,0.9869561628002972,0.9861718814496822,0.9847684306117395,0.9835300916370842,0.9796499628498307,0.9729216544208701,0.955750020638983,0.9117477090728969,0.7702881202014364,0.335631140097416,0.9350588971396542,0.9955994686150781,0.9955579541680505,0.9953503819329127,0.9948937230156094,0.9942294918631683,0.9938973762869479,0.9936898040518101,0.9933992029226171,0.9930670873463966,0.9926104284290933,0.9918216539355695,0.9904101627366323,0.9891647293258053,0.9852623713052142,0.978495516439721,0.9612255064762537,0.9169711059448689,0.7747010959814016,0.33755396878113586,0.9404158436609624,0.9713361219970877,0.971301408123529,0.9711284308761486,0.9707494072355863,0.9702338708493989,0.9699929000706445,0.9698528425651288,0.9696099900270335,0.9693264828028623,0.9689293363798921,0.968228314096905,0.967176107766389,0.966077383469402,0.9627389023873306,0.9582359142435946,0.9451686126306288,0.9109393994405097,0.7986091504422594,0.45904740349941625,0.9283516831001972,0.9809056649866231,0.9808704805844667,0.9806960382308346,0.9803171196877167,0.9798028888557823,0.9795625963425055,0.9794220346198163,0.9791758985437342,0.978898446874364,0.978498223519628,0.977784582156093,0.9764976548601686,0.97530946706367,0.971902646200157,0.9666213666403357,0.9530022937847875,0.9182870804205406,0.8058195502341918,0.4618360119702662,0.9371163181881937,0.9217563540662481,0.9217909739161368,0.9219571086712856,0.9222981526302803,0.9227618588324805,0.922978556635961,0.923103255169497,0.9232627252105168,0.9234299253503547,0.923636358950986,0.92395229148743,0.9244469579856028,0.9248189423436127,0.9257909325212531,0.9271522898993299,0.9298100755343615,0.934656765427222,0.9446892109981475,0.9658034348762996,0.9277945352898425,0.9740663961299021,0.9740166272305647,0.9737693951908831,0.9732304971565356,0.9724933446916214,0.9721456210694878,0.9719399916479756,0.97158912284735,0.9711857058011943,0.9706005547774028,0.969570463580865,0.9678648012280102,0.9662002274994833,0.9612898280089831,0.9539275442301931,0.9336658349597452,0.8825762746080703,0.7302474593988035,0.33458839869918255,0.9171035836187503,23982.0,23981.0,23976.0,23965.0,23949.0,23941.0,23936.0,23929.0,23921.0,23910.0,23891.0,23857.0,23827.0,23733.0,23570.0,23154.0,22088.0,18661.0,8131.0,22652.736842105263,244.0,245.0,250.0,261.0,277.0,285.0,290.0,297.0,305.0,316.0,335.0,369.0,399.0,493.0,656.0,1072.0,2138.0,5565.0,16095.0,1573.2631578947369,106.0,107.0,112.0,123.0,139.0,147.0,152.0,159.0,167.0,178.0,197.0,231.0,261.0,355.0,518.0,934.0,2000.0,5427.0,15957.0,1435.2631578947369,0.983282423842153,0.9232299184925814,0.9836539255345497,0.9889787831255675,0.994644636333444,0.9855072463768116,0.0,0.014492753623188406,0.9073584420524956,0.9918036179989237,0.12285714285714286,0.9836145363448592,22119.66561716376,23959,267,129,9,68,0,1,42.0,1050,0.9711470795214637,0.9683810781804673,0.9739289272666888,23460,766,628,64.54438683046973,0.9155232174534714,481.2577206326144,0.9166813726335512,72,69,525,24088,24226,72,69
MOT17-09,0.7733310333196449,0.8680599721770893,0.6712977152671307,0.7733310333196449,0.7733310333196449,0.7733310333196449,0.7730613684239835,0.7726903935778687,0.7711964844083157,0.7674912406590333,0.763364240072133,0.7607560800688397,0.7564297166763715,0.7482970029456446,0.741917749499384,0.7331464228192174,0.7157102814648604,0.6805862873261028,0.6160684353054634,0.49187789943956095,0.2833008792044823,0.07924280826150655,0.6723752836900897,0.8967055593685656,0.8967055593685656,0.8967055593685656,0.8954046639231824,0.8941055517477724,0.8915126625598905,0.8850613915416098,0.8786539768864717,0.8741946422516107,0.8665991219182708,0.8522117962466488,0.8380445626870635,0.8210873146622735,0.7950633322507308,0.7557179161372299,0.6768810679611651,0.5209135938359934,0.2835578262888992,0.0647274128298979,0.762308079570232,0.6669311691525065,0.6669311691525065,0.6669311691525065,0.6674344052789439,0.667762819680992,0.6671178577049,0.6655389220654409,0.6632018728075447,0.6620377034925031,0.6602659774274023,0.6570531023902568,0.6568170375777175,0.6546242618712222,0.6442772370653984,0.612924061485684,0.5607193566854161,0.46446065301426825,0.28304416495371726,0.09701334236349078,0.5939519096485483,0.9035269709543569,0.9035269709543569,0.9035269709543569,0.90283540802213,0.9021438450899032,0.9007607192254495,0.8973029045643154,0.8938450899031812,0.8914246196403873,0.8872752420470262,0.8793222683264177,0.8713692946058091,0.8616874135546335,0.8464730290456431,0.8226141078838174,0.7714384508990318,0.6545643153526971,0.4221991701244813,0.11618257261410789,0.8016852296716895,0.9916508538899431,0.9916508538899431,0.9916508538899431,0.9908918406072106,0.9901328273244782,0.9886148007590133,0.9848197343453511,0.9810246679316889,0.9783681214421253,0.9738140417457305,0.9650853889943074,0.9563567362428842,0.9457305502846299,0.9290322580645162,0.9028462998102467,0.8466793168880455,0.7184060721062618,0.4633776091081594,0.12751423149905122,0.8798761609907121,0.7855898690699349,0.7855898690699349,0.7855898690699349,0.7861781846650485,0.7866026553774396,0.7862750619050628,0.7846874210264656,0.7815849201239338,0.7798100837956621,0.7770660064100448,0.7735657396009304,0.7718476930391817,0.7686493021932268,0.760794562176271,0.7423655509479672,0.7053630282011356,0.6240500040565016,0.4329328155712437,0.17245775774982414,0.7153158102131444,0.7995823609161322,0.7995823609161322,0.7995823609161322,0.8001775225330297,0.8002054896457613,0.7990845340737252,0.7971086237874606,0.7957030060648405,0.7949431358231919,0.7939475767780041,0.7909103323675593,0.7890931512510784,0.7868840451334728,0.780882786052309,0.7614227321036745,0.718174960433383,0.6304449038776416,0.4407729468924916,0.18084657903145085,0.7294394425577617,0.8680599721770893,0.8680599721770893,0.8680599721770893,0.8685841257062228,0.8690752152419081,0.8699854522154027,0.872074895085096,0.8739849952849617,0.875176154600985,0.8770441436014069,0.8802072603522793,0.8829375846397091,0.8858073727811017,0.8895732470517071,0.894199652098448,0.901879262868577,0.9150088515931952,0.9362479656187092,0.9642900061209922,0.8873819000732615,0.776266899396987,0.776266899396987,0.776266899396987,0.7762624643881881,0.7761559880301677,0.7751861462348297,0.7727806984325654,0.7699348918081437,0.7682165762487816,0.7654003233193168,0.7601061928472301,0.7565250813549891,0.7510535846808299,0.7384871728093222,0.7100704049878237,0.6576932962335097,0.5513795148067718,0.3456891834466856,0.10616618903249554,0.6899951793080322,2613.0,2613.0,2613.0,2611.0,2609.0,2605.0,2595.0,2585.0,2578.0,2566.0,2543.0,2520.0,2492.0,2448.0,2379.0,2231.0,1893.0,1221.0,336.0,2318.4736842105262,279.0,279.0,279.0,281.0,283.0,287.0,297.0,307.0,314.0,326.0,349.0,372.0,400.0,444.0,513.0,661.0,999.0,1671.0,2556.0,573.5263157894736,22.0,22.0,22.0,24.0,26.0,30.0,40.0,50.0,57.0,69.0,92.0,115.0,143.0,187.0,256.0,404.0,742.0,1414.0,2299.0,316.5263157894737,0.8786307053941909,0.875053349832634,0.8876210235131397,0.8993775933609959,0.9870967741935484,0.8181818181818182,0.13636363636363635,0.045454545454545456,0.766256487868147,0.9411977564682468,0.06476190476190476,0.887131751954367,2276.013762914681,2601,291,34,26,18,3,1,39.0,525,0.7595440564501538,0.7257952973720608,0.796584440227704,2099,793,536,13.961522502233649,0.5475106863621039,218.87901483904287,0.832239600148452,29,22,263,2635,2892,29,22
MOT17-10,0.8739864623790883,0.7997004376697381,0.698927356481983,0.8739864623790883,0.8730217794992713,0.8720872442935302,0.8697847477115431,0.8669511619347765,0.8646660676828881,0.8623344651450722,0.8571732699713592,0.8480679854856125,0.8284685494647185,0.801278673382895,0.7619971235798804,0.7142977594300073,0.6539889430662571,0.5712104442144657,0.45004649163715704,0.2967898737241728,0.14715984437624818,0.03561547163945434,0.6867855978220209,0.9111408050776683,0.9095460614152203,0.9082721814543029,0.9054121565362199,0.901612099052684,0.8987719880517756,0.8953122411793938,0.8881188118811881,0.8757377049180328,0.8499595796281326,0.8176330420969024,0.7692902427709912,0.7118491921005387,0.6390201976794155,0.5428802588996764,0.412941467028896,0.25681019332161686,0.11705555013179733,0.02224604663629054,0.6965057799926706,0.8383471930628773,0.8379641887450651,0.8373438900679882,0.8355592554067601,0.8336227053405375,0.8318543730127014,0.8305713868018457,0.8273059920857598,0.8212725156934318,0.8075209149974701,0.7852514262041767,0.7547731455068787,0.7167547491641558,0.6693083242221552,0.6010190391542374,0.4904856034250989,0.34299350818562696,0.18500634760554488,0.05701965121440959,0.6791565373629854,0.9174234779683821,0.9165825765220316,0.9159098553649512,0.9143962327615204,0.9123780692902792,0.9108644466868483,0.9090144635048772,0.905146316851665,0.8984191052808611,0.8841237806929028,0.865623948873192,0.8366969391187353,0.8002018163471241,0.7502522704339052,0.6770938446014128,0.5623948873192062,0.39320551631348805,0.20164816683484696,0.04187689202825429,0.7480659266733939,0.9925400291120815,0.9916302765647744,0.9909024745269287,0.9892649199417758,0.9870815138282387,0.9854439592430859,0.9834425036390102,0.9792576419213974,0.9719796215429404,0.9565138282387191,0.9364992721979621,0.9052037845705968,0.8657205240174672,0.8116812227074236,0.732532751091703,0.6084425036390102,0.4254002911208151,0.21815866084425037,0.0453056768558952,0.809315866084425,0.8603471797708182,0.8600893680420257,0.8597328246092396,0.8584346950194617,0.8572926187316394,0.8561098287934358,0.8552088789635002,0.8533105869007612,0.8499357276287902,0.8423401692666738,0.8292791360935031,0.8095580941995986,0.784126644769438,0.7511316048979044,0.7012977928825029,0.6149044477155908,0.47926436619951684,0.29729474388440047,0.10508755459882411,0.7328813822614539,0.939801649108601,0.9396754738914687,0.9393885232092795,0.9382955888750844,0.9370704158372726,0.9358798498059808,0.9347584863571239,0.9318724472674877,0.9269548966517711,0.9168593163230931,0.9016489528400943,0.8795194172547167,0.8498239772945068,0.8112530191467674,0.754240576559355,0.6561509475291493,0.5056096288915479,0.30998740224666194,0.10672055377099324,0.7955532169926819,0.7997004376697381,0.80036255188165,0.8008601438413955,0.8019022330409883,0.8031686716003386,0.804050754500979,0.80502381881346,0.8068377892741413,0.8096672623190394,0.8150556376588606,0.8212523909201426,0.829739600028129,0.8389847911896015,0.8498575870212881,0.8631659627317471,0.8805934658895543,0.9040938578791419,0.9315589761995842,0.9620404529627551,0.8383113887064492,0.8769945254132294,0.8763922495966893,0.875746265331972,0.8740893749456988,0.8721118474227597,0.8704634243885548,0.868908167516097,0.8653513573374333,0.8589801620183408,0.8449546995881824,0.8244588773305588,0.7946800491862277,0.7573298172900528,0.7086254933799547,0.6379234216577955,0.5252110010937998,0.3672423443426752,0.19314810598985588,0.04886517960055553,0.7127092822858122,5455.0,5450.0,5446.0,5437.0,5425.0,5416.0,5405.0,5382.0,5342.0,5257.0,5147.0,4975.0,4758.0,4461.0,4026.0,3344.0,2338.0,1199.0,249.0,4448.0,491.0,496.0,500.0,509.0,521.0,530.0,541.0,564.0,604.0,689.0,799.0,971.0,1188.0,1485.0,1920.0,2602.0,3608.0,4747.0,5697.0,1498.0,41.0,46.0,50.0,59.0,71.0,80.0,91.0,114.0,154.0,239.0,349.0,521.0,738.0,1035.0,1470.0,2152.0,3158.0,4297.0,5247.0,1048.0,0.8583921964345779,0.8202707253064031,0.86209216279852,0.8932055163134881,0.9663391557496361,0.7777777777777778,0.19444444444444445,0.027777777777777776,0.6978570168352349,0.9283342073064149,0.28287461773700306,0.8618663937637366,4356.457822102307,5311,635,185,22,28,7,1,71.0,654,0.8580667715434365,0.8255970400269088,0.8931950509461426,4909,1037,587,28.560099713604128,0.6881951738217862,253.37220679669676,0.7748385528950971,47,36,327,5496,5946,47,36
MOT17-13,0.9313640949876704,0.852855984636213,0.7943194422855251,0.9313640949876704,0.9313640949876704,0.9313640949876704,0.9312112577607013,0.9312112577607013,0.9310654213487494,0.930916184959579,0.930916184959579,0.9295416830819665,0.9278347917181187,0.9256370154205796,0.9162904228943238,0.8990494083964617,0.8520484204730813,0.7591485384073846,0.6303078968339888,0.45517868575468096,0.23443328501536806,0.05570442491528141,0.7912940612980821,0.9457364341085271,0.9457364341085271,0.9457364341085271,0.9451332920024799,0.9451332920024799,0.9445305237062287,0.9439281288723668,0.9439281288723668,0.9421231816774992,0.940321583178726,0.9379246448424954,0.9278033794162827,0.909035594767265,0.856508875739645,0.7488851727982163,0.6024004085801838,0.40947888589398024,0.18822192766521492,0.03667602841566166,0.7925917026714039,0.9172101720389678,0.9172101720389678,0.9172101720389678,0.917494298336485,0.917494298336485,0.9177922757115102,0.9180836092414776,0.9180836092414776,0.9171282029685047,0.9155138158293007,0.9135103646419276,0.9049203287188676,0.8891729250106752,0.8476111939922879,0.7695525619938418,0.6595082592119531,0.5059788016005357,0.29199023623246895,0.08460520643007154,0.7915826580849882,0.9606299212598425,0.9606299212598425,0.9606299212598425,0.9603149606299213,0.9603149606299213,0.96,0.9596850393700788,0.9596850393700788,0.9587401574803149,0.9577952755905512,0.9565354330708662,0.9511811023622048,0.9411023622047244,0.9118110236220472,0.8462992125984252,0.742992125984252,0.5741732283464567,0.3130708661417323,0.06992125984251968,0.8371322005801907,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9835483870967742,0.9835483870967742,0.983225806451613,0.9829032258064516,0.9829032258064516,0.9819354838709677,0.9809677419354839,0.9796774193548388,0.9741935483870968,0.9638709677419355,0.9338709677419355,0.8667741935483871,0.7609677419354839,0.5880645161290322,0.32064516129032256,0.07161290322580645,0.8573853989813243,0.9713124618152458,0.9713124618152458,0.9713124618152458,0.9715138949423932,0.9715138949423932,0.9718121278475579,0.9720607417016972,0.9720607417016972,0.9717204515041776,0.9709028952597272,0.969874366750543,0.9652404179187115,0.9553182045716404,0.9283153911944375,0.8717441056126104,0.784563615987944,0.6515409838936647,0.43615367153629403,0.15447240373004062,0.8648813312916455,0.9438859866193337,0.9438859866193337,0.9438859866193337,0.9441769239118235,0.9441769239118235,0.9444831654589821,0.9447819486084301,0.9447819486084301,0.9444151904842737,0.9434168388764278,0.9421212074104336,0.9374992767798754,0.9288255982002191,0.903922863834903,0.8533766046238367,0.7744325747372542,0.6464564344470766,0.4352739380716111,0.15282656339491668,0.8429803137483326,0.852855984636213,0.852855984636213,0.852855984636213,0.8530858280209768,0.8530858280209768,0.8532788168429726,0.8534562953451468,0.8534562953451468,0.8538868171759514,0.8542529740295292,0.854692871443022,0.8562599048873593,0.8587140375275024,0.8644780362327039,0.8748781256757281,0.8884903820955586,0.9067806732814347,0.9325800630218035,0.9626237251725721,0.8701351909487908,0.9386690233221293,0.9386690233221293,0.9386690233221293,0.9386604822752361,0.9386604822752361,0.9386589288357352,0.9386538790629544,0.9386538790629544,0.9377033847350997,0.9364159372518082,0.9347753913414126,0.9277624242341254,0.9147692278034011,0.8791252643552077,0.8070140812083078,0.700006745407544,0.5389985918254804,0.302346880523395,0.07691360492674264,0.8139540134258436,3050.0,3050.0,3050.0,3049.0,3049.0,3048.0,3047.0,3047.0,3044.0,3041.0,3037.0,3020.0,2988.0,2895.0,2687.0,2359.0,1823.0,994.0,222.0,2657.8947368421054,125.0,125.0,125.0,126.0,126.0,127.0,128.0,128.0,131.0,134.0,138.0,155.0,187.0,280.0,488.0,816.0,1352.0,2181.0,2953.0,517.1052631578947,50.0,50.0,50.0,51.0,51.0,52.0,53.0,53.0,56.0,59.0,63.0,80.0,112.0,205.0,413.0,741.0,1277.0,2106.0,2878.0,442.10526315789474,0.9382677165354331,0.8542529740295292,0.9392125984251969,0.9577952755905512,0.9809677419354839,0.8863636363636364,0.045454545454545456,0.06818181818181818,0.7986719036295428,0.9692430278884462,0.07866666666666666,0.9390623240142615,2597.783294023798,3041,134,59,3,39,2,3,8.0,750,0.9373705179282869,0.9262992125984252,0.9487096774193549,2941,234,159,35.25357056793799,0.81042690960777,312.7812494101376,0.834083331760367,43,44,375,3100,3175,43,44
